LAT,LON,ER100,ER150,ER_Prob,RP10,RP20,RP50,RP100,RP_Avg,P_D1,P_D2,P_D3,P_D4,Drought_Prob,RP_Prob,Composite_Hazard
24.25,90,0,0,0,,,,,,0,0,0,0,0,,
24.25,90.25,0,0,0,,,,,,0,0,0,0,0,,
24.25,90.5,0,0,0,,,,,,0,0,0,0,0,,
24.25,90.75,0,0,0,,,,,,0,0,0,0,0,,
24.25,91,0,0,0,,,,,,0,0,0,0,0,,
24.25,91.25,0,0,0,0,0,0,129.61,32.4,0,0,0,0,0,0.025784963,0.0077
24.25,91.5,0,0,0,0,0,0,134.96,33.74,0,0,0,0,0,0.027456557,0.0082
24.25,91.75,0.0028,0.0007,0.0017,175.55,224.85,263.64,316.58,245.16,0.1491,0.0439,0.0088,0.0088,0.0526,0.291194192,0.1089
24.25,92,0.002,0.0005,0.0013,164.64,196,230.84,240.77,208.06,0.1228,0.0614,0.0351,0.0088,0.057,0.244913489,0.0967
24.25,92.25,0.0022,0.0005,0.0013,160.38,202.69,242.06,254.77,214.97,0.1228,0.0702,0.0351,0.0263,0.0636,0.253533426,0.1019
